schemaname	tablename	indexname	indexdef
analytics	bridge_county_adjacency	bridge_county_adjacency_adjacent_idx	CREATE INDEX bridge_county_adjacency_adjacent_idx ON analytics.bridge_county_adjacency USING btree (adjacent_county_geoid)
analytics	bridge_county_adjacency	bridge_county_adjacency_pkey	CREATE UNIQUE INDEX bridge_county_adjacency_pkey ON analytics.bridge_county_adjacency USING btree (county_geoid, adjacent_county_geoid)
analytics	bridge_county_market	bridge_county_market_pkey	CREATE UNIQUE INDEX bridge_county_market_pkey ON analytics.bridge_county_market USING btree (county_geoid, market_id)
analytics	bridge_county_market	bridge_county_market_primary_idx	CREATE INDEX bridge_county_market_primary_idx ON analytics.bridge_county_market USING btree (is_primary_market, market_id)
analytics	country_metrics_v1	country_metrics_v1_data_version_idx	CREATE INDEX country_metrics_v1_data_version_idx ON analytics.country_metrics_v1 USING btree (data_version)
analytics	country_metrics_v1	country_metrics_v1_pkey	CREATE UNIQUE INDEX country_metrics_v1_pkey ON analytics.country_metrics_v1 USING btree (country_iso2)
analytics	county_market_pressure_current	county_market_pressure_current_pkey	CREATE UNIQUE INDEX county_market_pressure_current_pkey ON analytics.county_market_pressure_current USING btree (county_geoid)
analytics	county_market_pressure_current	county_market_pressure_current_rank_idx	CREATE INDEX county_market_pressure_current_rank_idx ON analytics.county_market_pressure_current USING btree (rank_status, market_pressure_index DESC)
analytics	county_metrics_v1	county_metrics_v1_data_version_idx	CREATE INDEX county_metrics_v1_data_version_idx ON analytics.county_metrics_v1 USING btree (data_version)
analytics	county_metrics_v1	county_metrics_v1_pkey	CREATE UNIQUE INDEX county_metrics_v1_pkey ON analytics.county_metrics_v1 USING btree (county_fips)
analytics	county_scores_v1	county_scores_v1_composite_score_idx	CREATE INDEX county_scores_v1_composite_score_idx ON analytics.county_scores_v1 USING btree (composite_score DESC)
analytics	county_scores_v1	county_scores_v1_data_version_idx	CREATE INDEX county_scores_v1_data_version_idx ON analytics.county_scores_v1 USING btree (data_version)
analytics	county_scores_v1	county_scores_v1_pkey	CREATE UNIQUE INDEX county_scores_v1_pkey ON analytics.county_scores_v1 USING btree (county_fips)
analytics	dim_county	dim_county_geom_gist	CREATE INDEX dim_county_geom_gist ON analytics.dim_county USING gist (geom_3857)
analytics	dim_county	dim_county_pkey	CREATE UNIQUE INDEX dim_county_pkey ON analytics.dim_county USING btree (county_geoid)
analytics	dim_county	dim_county_state_idx	CREATE INDEX dim_county_state_idx ON analytics.dim_county USING btree (state_abbrev)
analytics	fact_dc_pipeline_project	fact_dc_pipeline_project_county_idx	CREATE INDEX fact_dc_pipeline_project_county_idx ON analytics.fact_dc_pipeline_project USING btree (county_geoid)
analytics	fact_dc_pipeline_project	fact_dc_pipeline_project_pkey	CREATE UNIQUE INDEX fact_dc_pipeline_project_pkey ON analytics.fact_dc_pipeline_project USING btree (project_id)
